feature_variant,alpha,l1_ratio,cv_r2_mean,cv_r2_std,cv_fold_scores,n_features,n_samples,data_source,candidate
base,0.05,0.5,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",31,2445,real_spy,True
base,0.05,0.6,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",31,2445,real_spy,True
base,0.05,0.7,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",31,2445,real_spy,True
base,0.05,0.8,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",31,2445,real_spy,True
base,0.08,0.5,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",31,2445,real_spy,True
base,0.08,0.6,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",31,2445,real_spy,True
base,0.08,0.7,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",31,2445,real_spy,True
base,0.08,0.8,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",31,2445,real_spy,True
base,0.1,0.5,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",31,2445,real_spy,True
base,0.1,0.6,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",31,2445,real_spy,True
base,0.1,0.7,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",31,2445,real_spy,True
base,0.1,0.8,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",31,2445,real_spy,True
base,0.15,0.5,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",31,2445,real_spy,True
base,0.15,0.6,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",31,2445,real_spy,True
base,0.15,0.7,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",31,2445,real_spy,True
base,0.15,0.8,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",31,2445,real_spy,True
extended,0.05,0.5,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",34,2445,real_spy,True
extended,0.05,0.6,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",34,2445,real_spy,True
extended,0.05,0.7,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",34,2445,real_spy,True
extended,0.05,0.8,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",34,2445,real_spy,True
extended,0.08,0.5,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",34,2445,real_spy,True
extended,0.08,0.6,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",34,2445,real_spy,True
extended,0.08,0.7,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",34,2445,real_spy,True
extended,0.08,0.8,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",34,2445,real_spy,True
extended,0.1,0.5,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",34,2445,real_spy,True
extended,0.1,0.6,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",34,2445,real_spy,True
extended,0.1,0.7,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",34,2445,real_spy,True
extended,0.1,0.8,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",34,2445,real_spy,True
extended,0.15,0.5,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",34,2445,real_spy,True
extended,0.15,0.6,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",34,2445,real_spy,True
extended,0.15,0.7,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",34,2445,real_spy,True
extended,0.15,0.8,-0.1773407731870174,0.07825634687659941,"[-0.11436255419411068, -0.22067311978243698, -0.062041230255387436, -0.21033730325056843, -0.27928965845258347]",34,2445,real_spy,True
